date,mwh_gross_park,cr,mwh_delivered,p_market,cf,p_wind_merchant,eeg_on,strike_cod_fixed,p_wind_realised,revenue_eur,eeg_premium_eur,strike_source
2032-07-01,7617.44,0.0329946136805852,7366.105509964963,62.599228176701786,0.8396930459611868,52.564136582514074,1,51.14574865619333,52.564136582514074,387192.9761070078,0.0,from_series_asof
2032-08-01,7882.38,0.0329946136805852,7622.303917016429,70.76591385385802,0.860812358719622,60.9161732214891,1,51.14574865619333,60.9161732214891,464321.5857558077,0.0,from_series_asof
2032-09-01,9324.79,0.0329946136805852,9017.122156297417,71.62927159807685,0.8467178950919665,60.649786074494415,1,51.14574865619333,60.649786074494415,546886.5297870222,0.0,from_series_asof
2032-10-01,9902.73,0.0377137406158396,9529.261009391306,61.193653242804544,0.7989201189043467,48.88884072493276,1,51.14574865619333,51.14574865619333,487381.1884655909,21506.664751147284,from_series_asof
2032-11-01,10781.98,0.0377137406158396,10375.35120295483,70.76642024969038,0.8159792868508753,57.7439331283317,1,51.14574865619333,57.7439331283317,599113.5860463795,0.0,from_series_asof
2032-12-01,13251.46,0.0377137406158396,12751.697874778825,72.09925288715021,0.7330078376738405,52.84931745670938,1,51.14574865619333,52.84931745670938,673918.5290962325,0.0,from_series_asof
2033-01-01,15335.09,0.0382932364914966,14747.859772011616,63.36645373628602,0.7930391632970883,50.25207945212792,1,51.14574865619333,51.14574865619333,754290.3291160907,13179.708104121808,from_series_asof
2033-02-01,11559.66,0.0382932364914966,11117.003205858706,58.19415096456606,0.8221760997509426,47.84584006836448,1,51.14574865619333,51.14574865619333,568587.4517769448,36685.09434993395,from_series_asof
2033-03-01,12045.69,0.0382932364914966,11584.421544126744,58.55745534354651,0.8035458206564055,47.053598509580894,1,51.14574865619333,51.14574865619333,592493.9126232974,47405.19232021848,from_series_asof
2033-04-01,10790.35,0.0344756956983979,10418.345176920793,51.369753009473925,0.8296047570124536,42.61659146321438,1,51.14574865619333,51.14574865619333,532854.0638322548,88859.70370467153,from_series_asof
2033-05-01,10670.37,0.0344756956983979,10302.501570890687,49.71885231054458,0.8456729114842396,42.045886589113145,1,51.14574865619333,51.14574865619333,526929.1558748119,93751.34324098214,from_series_asof
2033-06-01,8667.43,0.0344756956983979,8368.614320832836,57.09981482116547,0.8648029692585852,49.380089401459266,1,51.14574865619333,51.14574865619333,428019.04465393623,14776.121324878493,from_series_asof
2033-07-01,8721.92,0.0330286480144221,8433.846774310052,65.22557643528586,0.8379665004117082,54.65684802281287,1,51.14574865619333,54.65684802281287,460967.4813911551,0.0,from_series_asof
2033-08-01,9219.33,0.0330286480144221,8914.827994501198,73.4739055114834,0.8590423884262725,63.117199277590956,1,51.14574865619333,63.117199277590956,562678.9750543786,0.0,from_series_asof
2033-09-01,9701.93,0.0330286480144221,9381.488368969438,74.34586651337332,0.84497690530949,62.82054020902263,1,51.14574865619333,62.82054020902263,589350.1673033227,0.0,from_series_asof
2033-10-01,11127.96,0.0377712531931355,10707.643005316915,63.8058530285486,0.7972774091280567,50.870965189806796,1,51.14574865619333,51.14574865619333,547650.4178501855,2942.283261830469,from_series_asof
2033-11-01,12132.91,0.0377712531931355,11674.634784420476,73.47433168172603,0.8143015006491727,59.83025854762456,1,51.14574865619333,59.83025854762456,698496.4176009682,0.0,from_series_asof
2033-12-01,13157.0,0.0377712531931355,12660.043621737917,74.82047049100709,0.7315006542739587,54.7312231172571,1,51.14574865619333,54.7312231172571,692899.6721355456,0.0,from_series_asof
2034-01-01,13335.38,0.0383536321328505,12823.919741128228,66.00031563161656,0.7914085457225608,52.23321381124766,1,51.14574865619333,52.23321381124766,669834.5417366305,0.0,from_series_asof
